RADIUS_PC,VELOCITY_cgs_KMS,DENSITY_CM3,TEMP_cgs_K
5.4210937,-0.30270619,102.93837,98.192397
5.4601562,-0.30065895,102.89648,98.216213
5.4992187,-0.29863843,102.85548,98.239573
5.5382812,-0.29664415,102.81535,98.26249
5.5773437,-0.2946756,102.77605,98.284973
5.6164062,-0.2927323,102.73757,98.307034
5.6554687,-0.29081378,102.69989,98.328682
5.6945312,-0.2889196,102.66298,98.349928
5.7335937,-0.28704929,102.62682,98.370782
5.7726562,-0.28520242,102.59139,98.391252
5.8117187,-0.28337858,102.55667,98.411348
5.8507812,-0.28157733,102.52265,98.431078
5.8898437,-0.27979828,102.4893,98.450452
5.9289062,-0.27804102,102.4566,98.469477
5.9679687,-0.27630518,102.42455,98.488162
6.0070312,-0.27459036,102.39312,98.506514
6.0460937,-0.2728962,102.3623,98.524542
6.0851562,-0.27122235,102.33207,98.542252
6.1242187,-0.26956843,102.30241,98.559652
6.1632812,-0.26793412,102.27332,98.576749
6.2023437,-0.26631906,102.24477,98.593549
6.2414062,-0.26472293,102.21676,98.61006
6.2804687,-0.26314541,102.18927,98.626288
6.3195312,-0.26158618,102.16229,98.642239
6.3585937,-0.26004493,102.1358,98.65792
6.3976562,-0.25852136,102.1098,98.673335
6.4367187,-0.25701518,102.08427,98.688492
6.4757812,-0.25552608,102.0592,98.703395
6.5148437,-0.2540538,102.03458,98.718051
6.5539062,-0.25259804,102.01039,98.732464
6.5929687,-0.25115855,101.98664,98.74664
6.6320312,-0.24973506,101.9633,98.760584
6.6710937,-0.2483273,101.94038,98.7743
6.7101562,-0.24693503,101.91785,98.787794
6.7492187,-0.24555799,101.89571,98.801071
6.7882812,-0.24419594,101.87396,98.814134
6.8273437,-0.24284863,101.85257,98.826989
6.8664062,-0.24151585,101.83155,98.839639
6.9054687,-0.24019735,101.81089,98.85209
6.9445312,-0.23889292,101.79057,98.864344
6.9835937,-0.23760233,101.77059,98.876406
7.0226562,-0.23632537,101.75095,98.888281
7.0617187,-0.23506183,101.73163,98.899971
7.1007812,-0.2338115,101.71263,98.911481
7.1398437,-0.23257418,101.69394,98.922813
7.1789062,-0.23134967,101.67555,98.933973
7.2179687,-0.23013778,101.65746,98.944963
7.2570312,-0.22893831,101.63967,98.955786
7.2960937,-0.22775107,101.62216,98.966446
7.3351562,-0.2265759,101.60492,98.976946
7.3742187,-0.2254126,101.58796,98.987289
7.4132812,-0.22426099,101.57127,98.997479
7.4523437,-0.22312092,101.55484,99.007517
7.4914062,-0.2219922,101.53867,99.017408
7.5304687,-0.22087467,101.52274,99.027154
7.5695312,-0.21976817,101.50706,99.036758
7.6085937,-0.21867254,101.49163,99.046222
7.6476562,-0.21758762,101.47643,99.055549
7.6867187,-0.21651325,101.46146,99.064742
7.7257812,-0.21544929,101.44672,99.073803
7.7648437,-0.21439559,101.43219,99.082735
7.8039062,-0.213352,101.41789,99.09154
7.8429687,-0.21231838,101.4038,99.10022
7.8820312,-0.21129459,101.38992,99.108778
7.9210937,-0.21028049,101.37624,99.117217
7.9601562,-0.20927595,101.36277,99.125537
7.9992187,-0.20828083,101.34949,99.133742
8.0382812,-0.20729501,101.3364,99.141834
8.0773437,-0.20631835,101.32351,99.149814
8.1164062,-0.20535073,101.3108,99.157684
8.1554687,-0.20439203,101.29827,99.165447
8.1945312,-0.20344213,101.28592,99.173105
8.2335937,-0.2025009,101.27375,99.180659
8.2726562,-0.20156824,101.26174,99.188111
8.3117187,-0.20064402,101.24991,99.195463
8.3507812,-0.19972813,101.23824,99.202717
8.3898437,-0.19882046,101.22674,99.209874
8.4289062,-0.19792091,101.21539,99.216937
8.4679687,-0.19702936,101.2042,99.223906
8.5070312,-0.19614572,101.19317,99.230784
8.5460937,-0.19526987,101.18229,99.237571
8.5851562,-0.19440172,101.17155,99.24427
8.6242187,-0.19354117,101.16096,99.250883
8.6632812,-0.19268811,101.15051,99.257409
8.7023437,-0.19184246,101.14021,99.263852
8.7414062,-0.19100411,101.13004,99.270212
8.7804687,-0.19017298,101.12,99.276491
8.8195312,-0.18934897,101.1101,99.28269
8.8585937,-0.188532,101.10033,99.288811
8.8976562,-0.18772196,101.09069,99.294854
8.9367187,-0.18691878,101.08118,99.300822
8.9757812,-0.18612238,101.07179,99.306715
9.0148437,-0.18533266,101.06252,99.312534
9.0539062,-0.18454954,101.05337,99.318281
9.0929687,-0.18377295,101.04434,99.323957
9.1320312,-0.18300279,101.03542,99.329563
9.1710937,-0.182239,101.02662,99.335101
9.2101562,-0.18148149,101.01793,99.34057
9.2492187,-0.1807302,101.00935,99.345973
9.2882812,-0.17998503,101.00087,99.351311
9.3273437,-0.17924593,100.99251,99.356584
9.3664062,-0.17851281,100.98424,99.361794
9.4054687,-0.1777856,100.97608,99.366941
9.4445312,-0.17706424,100.96803,99.372027
9.4835937,-0.17634866,100.96007,99.377052
9.5226562,-0.17563878,100.95221,99.382018
9.5617187,-0.17493453,100.94444,99.386925
9.6007812,-0.17423587,100.93677,99.391775
9.6398437,-0.1735427,100.92919,99.396567
9.6789062,-0.17285499,100.92171,99.401304
9.7179687,-0.17217265,100.91431,99.405986
9.7570312,-0.17149562,100.907,99.410613
9.7960937,-0.17082386,100.89978,99.415187
9.8351562,-0.17015729,100.89265,99.419708
9.8742187,-0.16949586,100.8856,99.424178
9.9132812,-0.1688395,100.87863,99.428596
9.9523437,-0.16818816,100.87175,99.432965
9.9914062,-0.16754179,100.86495,99.437284
10.030469,-0.16690032,100.85822,99.441554
10.069531,-0.16626371,100.85158,99.445776
10.108594,-0.16563189,100.84501,99.449951
10.147656,-0.16500482,100.83851,99.454079
10.186719,-0.16438244,100.83209,99.458161
10.225781,-0.16376469,100.82575,99.462198
10.264844,-0.16315154,100.81947,99.46619
10.303906,-0.16254292,100.81327,99.470138
10.342969,-0.16193879,100.80714,99.474043
10.382031,-0.1613391,100.80108,99.477906
10.421094,-0.1607438,100.79508,99.481726
10.460156,-0.16015284,100.78915,99.485505
10.499219,-0.15956617,100.78329,99.489243
10.538281,-0.15898376,100.7775,99.49294
10.577344,-0.15840555,100.77176,99.496598
10.616406,-0.15783149,100.76609,99.500217
10.655469,-0.15726156,100.76049,99.503797
10.694531,-0.15669569,100.75494,99.507339
10.733594,-0.15613385,100.74946,99.510844
10.772656,-0.15557599,100.74403,99.514312
10.811719,-0.15502208,100.73866,99.517743
10.850781,-0.15447207,100.73335,99.521138
10.889844,-0.15392592,100.7281,99.524498
10.928906,-0.15338359,100.7229,99.527822
10.967969,-0.15284504,100.71776,99.531112
11.007031,-0.15231024,100.71268,99.534368
11.046094,-0.15177913,100.70765,99.537591
11.085156,-0.1512517,100.70267,99.54078
11.124219,-0.15072789,100.69774,99.543937
11.163281,-0.15020767,100.69287,99.547062
11.202344,-0.149691,100.68804,99.550154
11.241406,-0.14917785,100.68327,99.553216
11.280469,-0.14866819,100.67854,99.556246
11.319531,-0.14816197,100.67387,99.559246
11.358594,-0.14765916,100.66924,99.562216
11.397656,-0.14715974,100.66466,99.565156
11.436719,-0.14666366,100.66013,99.568066
11.475781,-0.14617089,100.65564,99.570948
11.514844,-0.1456814,100.6512,99.573801
11.553906,-0.14519515,100.6468,99.576626
11.592969,-0.14471212,100.64245,99.579424
11.632031,-0.14423227,100.63814,99.582193
11.671094,-0.14375558,100.63388,99.584936
11.710156,-0.143282,100.62966,99.587652
11.749219,-0.14281152,100.62548,99.590341
11.788281,-0.1423441,100.62134,99.593004
11.827344,-0.1418797,100.61724,99.595642
11.866406,-0.14141831,100.61318,99.598254
11.905469,-0.1409599,100.60916,99.600841
11.944531,-0.14050442,100.60519,99.603404
11.983594,-0.14005187,100.60125,99.605942
12.022656,-0.1396022,100.59735,99.608455
12.061719,-0.13915539,100.59348,99.610945
12.100781,-0.13871142,100.58966,99.613412
12.139844,-0.13827025,100.58587,99.615855
12.178906,-0.13783187,100.58212,99.618275
12.217969,-0.13739624,100.5784,99.620672
12.257031,-0.13696334,100.57472,99.623048
12.296094,-0.13653314,100.57107,99.6254
12.335156,-0.13610563,100.56746,99.627732
12.374219,-0.13568076,100.56388,99.630041
12.413281,-0.13525853,100.56034,99.632329
12.452344,-0.1348389,100.55683,99.634597
12.491406,-0.13442186,100.55335,99.636843
12.530469,-0.13400737,100.54991,99.639069
12.569531,-0.13359541,100.54649,99.641274
12.608594,-0.13318597,100.54311,99.64346
12.647656,-0.13277901,100.53976,99.645626
12.686719,-0.13237452,100.53644,99.647772
12.725781,-0.13197248,100.53316,99.649898
12.764844,-0.13157286,100.5299,99.652006
12.803906,-0.13117563,100.52667,99.654095
12.842969,-0.13078079,100.52347,99.656165
12.882031,-0.1303883,100.5203,99.658217
12.921094,-0.12999815,100.51716,99.66025
12.960156,-0.12961032,100.51404,99.662266
12.999219,-0.12922478,100.51096,99.664263
13.038281,-0.12884152,100.5079,99.666243
13.077344,-0.12846051,100.50487,99.668206
13.116406,-0.12808174,100.50187,99.670152
13.155469,-0.12770518,100.49889,99.67208
13.194531,-0.12733082,100.49594,99.673992
13.233594,-0.12695864,100.49302,99.675887
13.272656,-0.12658862,100.49012,99.677766
13.311719,-0.12622074,100.48725,99.679628
13.350781,-0.12585497,100.4844,99.681475
13.389844,-0.12549132,100.48158,99.683306
13.428906,-0.12512974,100.47878,99.685121
13.467969,-0.12477024,100.47601,99.68692
13.507031,-0.12441279,100.47326,99.688704
13.546094,-0.12405736,100.47053,99.690473
13.585156,-0.12370396,100.46783,99.692227
13.624219,-0.12335255,100.46515,99.693967
13.663281,-0.12300313,100.4625,99.695691
13.702344,-0.12265566,100.45986,99.697402
13.741406,-0.12231015,100.45725,99.699097
13.780469,-0.12196657,100.45466,99.700779
13.819531,-0.12162491,100.4521,99.702447
13.858594,-0.12128515,100.44955,99.704101
13.897656,-0.12094727,100.44703,99.705741
13.936719,-0.12061126,100.44452,99.707367
13.975781,-0.1202771,100.44204,99.708981
14.014844,-0.11994478,100.43958,99.710581
14.053906,-0.11961429,100.43714,99.712168
14.092969,-0.1192856,100.43472,99.713741
14.132031,-0.11895871,100.43232,99.715303
14.171094,-0.1186336,100.42994,99.716851
14.210156,-0.11831025,100.42758,99.718387
14.249219,-0.11798865,100.42524,99.71991
14.288281,-0.11766879,100.42292,99.721421
14.327344,-0.11735065,100.42061,99.72292
14.366406,-0.11703422,100.41833,99.724407
14.405469,-0.11671948,100.41606,99.725883
14.444531,-0.11640642,100.41382,99.727346
14.483594,-0.11609504,100.41159,99.728798
14.522656,-0.1157853,100.40938,99.730238
14.561719,-0.11547721,100.40718,99.731667
14.600781,-0.11517075,100.40501,99.733084
14.639844,-0.1148659,100.40285,99.734491
14.678906,-0.11456266,100.40071,99.735886
14.717969,-0.11426101,100.39858,99.73727
14.757031,-0.11396093,100.39647,99.738644
14.796094,-0.11366242,100.39438,99.740007
14.835156,-0.11336547,100.39231,99.741359
14.874219,-0.11307006,100.39025,99.742701
14.913281,-0.11277617,100.38821,99.744032
14.952344,-0.11248381,100.38618,99.745353
14.991406,-0.11219295,100.38417,99.746664
15.030469,-0.11190358,100.38218,99.747965
15.069531,-0.1116157,100.3802,99.749256
15.108594,-0.11132929,100.37824,99.750537
15.147656,-0.11104434,100.37629,99.751809
15.186719,-0.11076084,100.37436,99.75307
15.225781,-0.11047878,100.37244,99.754322
15.264844,-0.11019814,100.37053,99.755565
15.303906,-0.10991893,100.36864,99.756798
15.342969,-0.10964111,100.36677,99.758022
15.382031,-0.1093647,100.36491,99.759237
15.421094,-0.10908967,100.36306,99.760443
15.460156,-0.10881601,100.36123,99.761639
15.499219,-0.10854372,100.35941,99.762827
15.538281,-0.10827279,100.35761,99.764006
15.577344,-0.1080032,100.35581,99.765177
15.616406,-0.10773494,100.35404,99.766338
15.655469,-0.10746801,100.35227,99.767491
15.694531,-0.10720239,100.35052,99.768636
15.733594,-0.10693808,100.34878,99.769772
15.772656,-0.10667506,100.34706,99.7709
15.811719,-0.10641333,100.34534,99.772019
15.850781,-0.10615287,100.34364,99.773131
15.889844,-0.10589369,100.34196,99.774234
15.928906,-0.10563576,100.34028,99.775329
15.967969,-0.10537908,100.33862,99.776417
16.007031,-0.10512364,100.33697,99.777496
